,order_no,user_id,vehicle_type,platform_type,personal_or_business,placement_day_of_month,placement_weekday,placement_time,confirmation_day_of_month,confirmation_weekday,confirmation_time,arrival_at_pickup_day_of_month,arrival_at_pickup_weekday,arrival_at_pickup_time,pickup_day_of_month,pickup_weekday,pickup_time,distance_km,temperature,pickup_lat,pickup_long,destination_lat,destination_long,rider_id
651,Order_No_17969,User_Id_3248,Bike,1,Personal,26,4,11:52:56 AM,26,4,11:53:33 AM,26,4,12:02:58 PM,26,4,12:07:13 PM,5,18.7,-1.296797,36.776452500000005,-1.2707013,36.792187899999995,Rider_Id_140
652,Order_No_7106,User_Id_928,Bike,3,Business,12,2,2:13:09 PM,12,2,2:27:39 PM,12,2,2:34:40 PM,12,2,2:35:45 PM,9,27.2,-1.2551895,36.7822034,-1.305791,36.811162700000004,Rider_Id_674
653,Order_No_25181,User_Id_429,Bike,3,Personal,11,5,1:40:37 PM,11,5,2:14:42 PM,11,5,2:34:40 PM,11,5,3:05:47 PM,6,22.7,-1.3044313,36.818504,-1.2633493999999998,36.7959696,Rider_Id_100
654,Order_No_20059,User_Id_1666,Bike,3,Personal,27,3,2:31:20 PM,27,3,2:31:37 PM,27,3,2:58:18 PM,27,3,3:00:40 PM,16,29.0,-1.2423902,36.8554947,-1.3234104,36.7989459,Rider_Id_19
655,Order_No_11464,User_Id_1342,Bike,3,Business,19,4,9:32:49 AM,19,4,9:33:44 AM,19,4,9:42:07 AM,19,4,9:46:21 AM,9,14.3,-1.3025826,36.7670807,-1.2620912,36.8013562,Rider_Id_399
656,Order_No_19530,User_Id_3201,Bike,3,Business,6,3,4:04:50 PM,6,3,4:05:36 PM,6,3,4:20:11 PM,6,3,4:28:30 PM,2,27.7,-1.2584143,36.8048002,-1.2561334,36.7990458,Rider_Id_953
657,Order_No_7266,User_Id_3599,Bike,3,Business,21,3,11:28:56 AM,21,3,11:29:52 AM,21,3,11:42:15 AM,21,3,11:55:46 AM,10,21.8,-1.3302996,36.8707935,-1.306416,36.916820200000004,Rider_Id_675
658,Order_No_14776,User_Id_2926,Bike,1,Personal,18,2,10:48:51 AM,18,2,10:49:16 AM,18,2,11:03:59 AM,18,2,11:32:06 AM,5,22.8,-1.2915306999999998,36.790586499999996,-1.2886385,36.8240195,Rider_Id_88
659,Order_No_8187,User_Id_393,Bike,3,Business,26,1,8:33:08 AM,26,1,9:52:53 AM,26,1,9:52:57 AM,26,1,10:21:00 AM,14,17.9,-1.3177546999999998,36.8303703,-1.306378,36.7519845,Rider_Id_239
660,Order_No_11058,User_Id_3470,Bike,3,Business,11,7,9:41:48 AM,11,7,9:57:17 AM,11,7,10:11:05 AM,11,7,10:52:04 AM,2,25.3,-1.290894,36.822971,-1.28878,36.8168312,Rider_Id_206
661,Order_No_24929,User_Id_1637,Bike,3,Business,4,3,8:50:07 AM,4,3,8:50:17 AM,4,3,9:03:16 AM,4,3,9:07:32 AM,14,15.2,-1.2615888000000002,36.7928732,-1.2297202,36.874550799999994,Rider_Id_103
662,Order_No_14431,User_Id_1544,Bike,3,Business,10,5,2:23:10 PM,10,5,2:26:15 PM,10,5,2:50:06 PM,10,5,2:55:58 PM,5,23.246119694548046,-1.2813012,36.832396200000005,-1.3018294,36.8497244,Rider_Id_787
663,Order_No_23643,User_Id_2008,Bike,3,Business,19,5,11:37:04 AM,19,5,11:37:23 AM,19,5,11:41:56 AM,19,5,12:05:02 PM,6,23.246119694548046,-1.2852569,36.8976121,-1.2829931,36.87462539999999,Rider_Id_436
664,Order_No_5633,User_Id_2468,Bike,3,Business,11,2,10:11:58 AM,11,2,10:12:37 AM,11,2,10:22:48 AM,11,2,10:25:27 AM,9,16.4,-1.2857671,36.7875614,-1.2546732,36.808679600000005,Rider_Id_798
665,Order_No_21622,User_Id_3149,Bike,3,Business,10,4,10:10:10 AM,10,4,10:11:48 AM,10,4,10:18:04 AM,10,4,11:08:10 AM,5,24.8,-1.3004062,36.829741,-1.3167113000000001,36.8301563,Rider_Id_687
666,Order_No_1008,User_Id_3040,Bike,1,Personal,13,5,12:01:04 PM,13,5,12:03:36 PM,13,5,12:23:20 PM,13,5,12:28:25 PM,6,23.246119694548046,-1.2902539,36.8211322,-1.2924173,36.779781400000005,Rider_Id_752
667,Order_No_8970,User_Id_286,Bike,3,Business,30,5,1:28:14 PM,30,5,2:26:25 PM,30,5,2:34:22 PM,30,5,2:39:46 PM,8,24.7,-1.2551895,36.7822034,-1.2703427999999999,36.8336071,Rider_Id_521
668,Order_No_16328,User_Id_3355,Bike,3,Business,22,4,12:46:51 PM,22,4,1:46:08 PM,22,4,2:06:34 PM,22,4,2:09:30 PM,4,26.5,-1.3052491000000002,36.8223899,-1.2850638,36.813096,Rider_Id_849
669,Order_No_5604,User_Id_1363,Bike,3,Business,28,1,1:40:58 PM,28,1,1:44:19 PM,28,1,1:49:58 PM,28,1,1:51:09 PM,5,26.2,-1.3004062,36.829741,-1.3228003000000002,36.8306435,Rider_Id_111
670,Order_No_23474,User_Id_841,Bike,3,Personal,26,4,4:53:52 PM,26,4,4:54:11 PM,26,4,5:43:16 PM,26,4,6:04:34 PM,5,19.7,-1.289498,36.818878000000005,-1.2567469999999998,36.813776000000004,Rider_Id_229
671,Order_No_10688,User_Id_1796,Bike,3,Business,25,4,1:58:00 PM,25,4,1:59:41 PM,25,4,2:22:21 PM,25,4,2:34:01 PM,10,23.246119694548046,-1.2783848999999998,36.8163445,-1.331619,36.847976,Rider_Id_686
672,Order_No_18491,User_Id_238,Bike,3,Business,2,3,10:06:05 AM,2,3,10:07:22 AM,2,3,10:12:35 AM,2,3,10:17:43 AM,3,20.1,-1.3077869,36.844320700000004,-1.3080091999999999,36.8284543,Rider_Id_114
673,Order_No_20857,User_Id_391,Bike,3,Business,28,5,11:17:20 AM,28,5,11:24:12 AM,28,5,12:16:01 PM,28,5,12:19:52 PM,6,23.8,-1.264316,36.816067600000004,-1.2867454,36.8259017,Rider_Id_275
674,Order_No_28176,User_Id_2970,Bike,1,Personal,3,3,2:36:27 PM,3,3,2:37:09 PM,3,3,2:43:16 PM,3,3,3:11:51 PM,13,26.9,-1.2854257,36.82979,-1.35533,36.7651121,Rider_Id_268
675,Order_No_13933,User_Id_3698,Bike,3,Business,30,4,4:30:11 PM,30,4,4:32:43 PM,30,4,4:39:14 PM,30,4,4:42:36 PM,7,23.246119694548046,-1.3244885,36.897791999999995,-1.3190102,36.923069299999995,Rider_Id_856
676,Order_No_21397,User_Id_1340,Bike,3,Business,9,4,1:36:53 PM,9,4,1:53:40 PM,9,4,2:00:07 PM,9,4,2:11:38 PM,7,25.7,-1.2707178999999997,36.7979713,-1.3027767,36.7730036,Rider_Id_770
677,Order_No_27085,User_Id_2439,Bike,3,Business,20,3,11:13:24 AM,20,3,11:13:47 AM,20,3,11:18:45 AM,20,3,11:29:11 AM,5,27.1,-1.2534301,36.800098299999995,-1.2886923000000001,36.8241519,Rider_Id_660
678,Order_No_9860,User_Id_3064,Bike,3,Business,17,4,3:36:10 PM,17,4,4:25:40 PM,17,4,4:43:26 PM,17,4,4:46:34 PM,6,26.2,-1.2571472,36.795063299999995,-1.2868546,36.824811,Rider_Id_725
679,Order_No_19842,User_Id_393,Bike,3,Business,27,3,12:17:52 PM,27,3,12:18:26 PM,27,3,12:30:28 PM,27,3,1:18:17 PM,11,25.8,-1.3167113000000001,36.8301563,-1.2638185,36.7930057,Rider_Id_910
680,Order_No_2690,User_Id_1500,Bike,3,Business,28,4,9:31:07 AM,28,4,9:31:41 AM,28,4,9:38:18 AM,28,4,9:44:35 AM,8,22.5,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_436
681,Order_No_13189,User_Id_3127,Bike,3,Business,16,2,10:00:02 AM,16,2,10:00:26 AM,16,2,10:01:31 AM,16,2,10:44:13 AM,7,23.246119694548046,-1.2918246,36.801584999999996,-1.2760462,36.807469700000006,Rider_Id_19
682,Order_No_21567,User_Id_1797,Bike,2,Personal,1,2,4:34:40 PM,1,2,4:40:58 PM,1,2,4:41:12 PM,1,2,4:51:55 PM,7,19.7,-1.2823245,36.7826208,-1.2760476,36.8161019,Rider_Id_101
683,Order_No_26409,User_Id_346,Bike,3,Business,24,5,12:35:53 PM,24,5,12:43:24 PM,24,5,1:01:39 PM,24,5,1:16:51 PM,6,21.4,-1.2765736,36.851364600000004,-1.28878,36.8168312,Rider_Id_855
684,Order_No_13863,User_Id_391,Bike,3,Business,21,3,11:19:05 AM,21,3,11:19:36 AM,21,3,11:32:09 AM,21,3,11:53:29 AM,31,21.8,-1.2857573999999998,36.8295667,-1.4135469999999999,36.955076399999996,Rider_Id_41
685,Order_No_4153,User_Id_2330,Bike,3,Business,2,4,12:37:51 PM,2,4,12:38:39 PM,2,4,12:45:51 PM,2,4,12:50:10 PM,6,23.246119694548046,-1.2642903,36.80021370000001,-1.2915246999999999,36.805575700000006,Rider_Id_383
686,Order_No_27691,User_Id_3736,Bike,2,Personal,12,4,12:42:57 PM,12,4,12:43:48 PM,12,4,12:44:32 PM,12,4,1:03:13 PM,11,18.8,-1.2610959,36.828102200000004,-1.2973327,36.769119700000005,Rider_Id_406
687,Order_No_11007,User_Id_3144,Bike,1,Personal,26,6,2:26:20 PM,26,6,2:29:14 PM,26,6,2:41:58 PM,26,6,2:48:25 PM,10,23.8,-1.2784594,36.817654600000004,-1.3332749,36.870814700000004,Rider_Id_742
688,Order_No_22244,User_Id_1481,Bike,1,Personal,9,4,2:06:13 PM,9,4,2:06:25 PM,9,4,2:17:29 PM,9,4,2:44:48 PM,10,25.7,-1.279509,36.822705,-1.2920375,36.7632608,Rider_Id_661
689,Order_No_1004,User_Id_53,Bike,3,Business,14,2,1:01:39 PM,14,2,1:05:41 PM,14,2,1:31:07 PM,14,2,2:19:49 PM,8,23.246119694548046,-1.3167113000000001,36.8301563,-1.2770708,36.8231093,Rider_Id_204
690,Order_No_27383,User_Id_3686,Bike,3,Business,23,4,2:21:16 PM,23,4,2:25:34 PM,23,4,2:42:05 PM,23,4,2:45:07 PM,10,20.6,-1.2551895,36.7822034,-1.2287282,36.8115304,Rider_Id_937
691,Order_No_2127,User_Id_1500,Bike,3,Business,28,2,4:11:42 PM,28,2,4:12:06 PM,28,2,4:12:12 PM,28,2,4:31:17 PM,10,23.5,-1.2991441000000001,36.7528804,-1.2638185,36.7930057,Rider_Id_855
692,Order_No_18020,User_Id_3469,Bike,3,Personal,22,2,12:46:08 PM,22,2,12:46:18 PM,22,2,1:06:02 PM,22,2,1:20:33 PM,18,19.5,-1.2354011999999999,36.8951561,-1.2900075,36.8032564,Rider_Id_618
693,Order_No_8516,User_Id_3283,Bike,3,Business,28,4,12:03:29 PM,28,4,12:15:22 PM,28,4,12:25:58 PM,28,4,12:35:20 PM,14,23.8,-1.228911,36.881876,-1.2628473,36.781805,Rider_Id_484
694,Order_No_10405,User_Id_533,Bike,3,Business,13,1,3:25:14 PM,13,1,3:28:54 PM,13,1,3:40:12 PM,13,1,3:52:00 PM,8,23.246119694548046,-1.2649605,36.798177700000004,-1.2763494,36.7671783,Rider_Id_907
695,Order_No_1078,User_Id_1241,Bike,2,Personal,26,2,8:35:45 AM,26,2,8:36:26 AM,26,2,9:02:54 AM,26,2,9:08:46 AM,8,23.246119694548046,-1.2983698000000001,36.807233200000006,-1.261842,36.784859999999995,Rider_Id_79
696,Order_No_11513,User_Id_1882,Bike,3,Business,3,4,1:25:09 PM,3,4,1:25:46 PM,3,4,1:29:49 PM,3,4,1:45:42 PM,10,26.0,-1.277018,36.820337,-1.3259468,36.8650665,Rider_Id_583
697,Order_No_12856,User_Id_788,Bike,3,Business,23,5,2:06:08 PM,23,5,2:10:56 PM,23,5,2:18:20 PM,23,5,2:42:12 PM,10,26.5,-1.279395,36.825364,-1.225322,36.80855,Rider_Id_906
698,Order_No_11810,User_Id_3688,Bike,3,Business,28,1,2:47:53 PM,28,1,2:48:09 PM,28,1,2:48:20 PM,28,1,2:52:29 PM,2,26.5,-1.2551895,36.7822034,-1.25531,36.792225,Rider_Id_803
699,Order_No_23272,User_Id_246,Bike,3,Business,6,4,2:07:28 PM,6,4,3:01:27 PM,6,4,3:15:47 PM,6,4,3:21:08 PM,10,23.246119694548046,-1.2584143,36.8048002,-1.2413316,36.878552500000005,Rider_Id_114
700,Order_No_20209,User_Id_176,Bike,1,Personal,2,3,11:59:17 AM,2,3,12:00:26 PM,2,3,12:19:41 PM,2,3,12:21:01 PM,5,21.8,-1.298529,36.816482,-1.2666695,36.8328283,Rider_Id_479
701,Order_No_12748,User_Id_1584,Bike,3,Business,11,2,2:48:49 PM,11,2,2:55:34 PM,11,2,2:56:05 PM,11,2,3:00:04 PM,8,22.5,-1.304033,36.7848695,-1.2715686000000002,36.8023526,Rider_Id_858
702,Order_No_12539,User_Id_913,Bike,3,Personal,1,5,12:17:23 PM,1,5,12:18:48 PM,1,5,12:41:49 PM,1,5,12:55:12 PM,6,26.3,-1.2999578999999999,36.7990742,-1.2692689,36.8055169,Rider_Id_468
703,Order_No_5529,User_Id_1209,Bike,3,Business,26,5,1:51:28 PM,26,5,1:51:41 PM,26,5,2:10:12 PM,26,5,2:16:08 PM,12,23.246119694548046,-1.2991441000000001,36.7528804,-1.3004062,36.829741,Rider_Id_161
704,Order_No_2518,User_Id_1146,Bike,3,Business,29,1,10:27:03 AM,29,1,10:28:50 AM,29,1,10:29:02 AM,29,1,11:01:32 AM,5,23.246119694548046,-1.3004062,36.829741,-1.3083266000000002,36.8494756,Rider_Id_86
705,Order_No_21137,User_Id_868,Bike,3,Business,1,5,11:45:41 AM,1,5,11:46:03 AM,1,5,12:07:04 PM,1,5,12:13:47 PM,4,28.8,-1.266837,36.799248999999996,-1.265715,36.823815,Rider_Id_283
706,Order_No_27969,User_Id_1329,Bike,3,Business,7,5,4:05:44 PM,7,5,4:06:05 PM,7,5,4:16:43 PM,7,5,4:27:33 PM,9,24.8,-1.3229601999999998,36.84576920000001,-1.273056,36.811298,Rider_Id_45
707,Order_No_23008,User_Id_635,Bike,3,Business,26,5,1:17:40 PM,26,5,1:22:46 PM,26,5,1:35:15 PM,26,5,1:44:33 PM,6,23.246119694548046,-1.300921,36.828195,-1.2822508,36.7995656,Rider_Id_690
708,Order_No_5583,User_Id_3412,Bike,1,Personal,26,3,9:46:31 AM,26,3,9:46:52 AM,26,3,10:07:43 AM,26,3,10:13:37 AM,9,19.2,-1.281876,36.818609,-1.2315181,36.814054299999995,Rider_Id_343
709,Order_No_4761,User_Id_928,Bike,3,Business,7,5,10:24:19 AM,7,5,10:25:43 AM,7,5,10:38:37 AM,7,5,10:44:00 AM,7,23.246119694548046,-1.2551895,36.7822034,-1.2878913,36.8089253,Rider_Id_109
710,Order_No_9669,User_Id_3497,Bike,1,Personal,5,3,6:06:55 PM,5,3,6:07:22 PM,5,3,6:13:15 PM,5,3,6:17:30 PM,10,22.3,-1.2556829999999999,36.813771,-1.2786123999999999,36.7678061,Rider_Id_427
711,Order_No_24806,User_Id_3402,Bike,3,Business,30,5,2:05:42 PM,30,5,2:06:40 PM,30,5,2:12:54 PM,30,5,2:22:28 PM,6,24.8,-1.2966911,36.833342200000004,-1.2764851000000002,36.8007126,Rider_Id_237
712,Order_No_18985,User_Id_1268,Bike,1,Personal,31,2,5:51:10 PM,31,2,5:54:15 PM,31,2,6:24:17 PM,31,2,6:33:54 PM,9,20.1,-1.2751745,36.765767600000004,-1.2983805,36.8198439,Rider_Id_74
713,Order_No_12565,User_Id_1245,Bike,3,Business,12,2,2:52:02 PM,12,2,2:52:25 PM,12,2,2:52:37 PM,12,2,4:01:56 PM,19,27.1,-1.300921,36.828195,-1.3198615,36.7110323,Rider_Id_31
714,Order_No_9560,User_Id_3149,Bike,3,Business,17,5,2:43:40 PM,17,5,2:48:59 PM,17,5,3:02:52 PM,17,5,3:37:04 PM,5,23.246119694548046,-1.3004062,36.829741,-1.3167113000000001,36.8301563,Rider_Id_211
715,Order_No_18862,User_Id_3291,Bike,3,Business,10,5,9:05:25 AM,10,5,9:11:06 AM,10,5,9:16:24 AM,10,5,9:25:33 AM,4,23.246119694548046,-1.272828,36.816608,-1.2600926000000001,36.8088685,Rider_Id_768
716,Order_No_4922,User_Id_1342,Bike,3,Business,30,2,4:34:37 PM,30,2,4:34:49 PM,30,2,4:35:16 PM,30,2,4:41:46 PM,7,23.7,-1.3025826,36.7670807,-1.3101721000000002,36.8049755,Rider_Id_486
717,Order_No_21441,User_Id_1724,Bike,3,Business,2,4,2:18:13 PM,2,4,2:19:18 PM,2,4,2:31:54 PM,2,4,3:03:40 PM,7,23.246119694548046,-1.2602337,36.79905479999999,-1.2907853999999999,36.7774108,Rider_Id_570
718,Order_No_9159,User_Id_3623,Bike,1,Personal,9,1,3:11:10 PM,9,1,3:12:52 PM,9,1,3:23:04 PM,9,1,3:28:11 PM,8,21.3,-1.265007,36.8149619,-1.3004944999999999,36.7727891,Rider_Id_427
719,Order_No_9022,User_Id_186,Bike,3,Business,7,2,11:15:05 AM,7,2,11:19:33 AM,7,2,11:24:49 AM,7,2,12:27:50 PM,23,23.246119694548046,-1.3700383,36.9190174,-1.2571472,36.795063299999995,Rider_Id_86
720,Order_No_27049,User_Id_2069,Bike,3,Business,13,4,2:10:52 PM,13,4,2:11:32 PM,13,4,2:14:15 PM,13,4,2:25:30 PM,9,23.2,-1.265715,36.823815,-1.228911,36.881876,Rider_Id_712
721,Order_No_26486,User_Id_393,Bike,3,Business,18,4,9:34:38 AM,18,4,9:34:45 AM,18,4,9:37:41 AM,18,4,9:54:42 AM,14,20.4,-1.3177546999999998,36.8303703,-1.306378,36.7519845,Rider_Id_731
722,Order_No_4097,User_Id_1882,Bike,3,Business,28,4,1:35:00 PM,28,4,2:22:57 PM,28,4,2:28:04 PM,28,4,2:48:02 PM,5,29.9,-1.2956882,36.7861845,-1.2877809999999998,36.817865999999995,Rider_Id_603
723,Order_No_23139,User_Id_1363,Bike,3,Business,22,5,2:28:18 PM,22,5,2:31:02 PM,22,5,2:31:13 PM,22,5,2:37:10 PM,3,30.9,-1.3004062,36.829741,-1.2867843,36.8134769,Rider_Id_111
724,Order_No_25363,User_Id_3291,Bike,3,Business,24,3,2:40:43 PM,24,3,2:42:11 PM,24,3,2:49:44 PM,24,3,3:12:03 PM,4,23.246119694548046,-1.272828,36.816608,-1.2600926000000001,36.8088685,Rider_Id_714
725,Order_No_26892,User_Id_1056,Bike,1,Personal,28,5,10:14:54 AM,28,5,10:15:32 AM,28,5,10:29:09 AM,28,5,10:46:35 AM,2,25.3,-1.2770615,36.7666289,-1.2834504999999998,36.7856036,Rider_Id_844
726,Order_No_3469,User_Id_1482,Bike,3,Business,29,4,12:32:25 PM,29,4,12:39:42 PM,29,4,12:49:14 PM,29,4,1:16:14 PM,2,21.3,-1.3253106000000001,36.8903296,-1.3385790000000002,36.89630379999999,Rider_Id_427
727,Order_No_23231,User_Id_1363,Bike,3,Business,25,2,10:21:21 AM,25,2,10:22:07 AM,25,2,10:45:43 AM,25,2,11:04:19 AM,7,23.7,-1.2876155,36.78684439999999,-1.3004062,36.829741,Rider_Id_722
728,Order_No_15424,User_Id_2066,Bike,3,Business,18,3,2:20:23 PM,18,3,2:21:18 PM,18,3,2:30:29 PM,18,3,2:35:13 PM,16,20.9,-1.316961,36.820337,-1.306416,36.916820200000004,Rider_Id_629
729,Order_No_19610,User_Id_246,Bike,3,Business,4,4,9:48:24 AM,4,4,9:48:34 AM,4,4,9:55:11 AM,4,4,10:05:14 AM,19,18.4,-1.2860183,36.8975338,-1.2584143,36.8048002,Rider_Id_191
730,Order_No_24926,User_Id_3599,Bike,3,Business,4,6,9:22:48 AM,4,6,9:23:20 AM,4,6,9:58:18 AM,4,6,10:03:55 AM,1,23.246119694548046,-1.3302996,36.8707935,-1.334798,36.862745000000004,Rider_Id_459
731,Order_No_637,User_Id_3222,Bike,3,Business,2,2,11:13:08 AM,2,2,11:14:06 AM,2,2,11:14:08 AM,2,2,11:28:15 AM,2,26.4,-1.2551895,36.7822034,-1.2567464,36.7915273,Rider_Id_245
732,Order_No_27648,User_Id_970,Bike,3,Business,5,2,2:50:51 PM,5,2,2:52:30 PM,5,2,3:06:24 PM,5,2,3:13:32 PM,5,27.4,-1.2551895,36.7822034,-1.2835586,36.8125641,Rider_Id_751
733,Order_No_25227,User_Id_1075,Bike,3,Business,30,2,3:51:51 PM,30,2,5:07:29 PM,30,2,5:22:48 PM,30,2,5:38:52 PM,15,23.246119694548046,-1.2156006000000001,36.8916865,-1.2527958000000001,36.8003131,Rider_Id_710
734,Order_No_9982,User_Id_3064,Bike,3,Business,7,1,3:09:21 PM,7,1,3:15:32 PM,7,1,3:33:08 PM,7,1,3:39:01 PM,9,26.7,-1.2907672,36.8252167,-1.2571472,36.795063299999995,Rider_Id_266
735,Order_No_4345,User_Id_186,Bike,3,Business,10,1,10:49:44 AM,10,1,10:51:12 AM,10,1,10:55:00 AM,10,1,11:12:33 AM,17,23.5,-1.2902869,36.8085396,-1.3700383,36.9190174,Rider_Id_31
736,Order_No_8175,User_Id_706,Bike,3,Business,11,3,11:52:06 AM,11,3,11:54:58 AM,11,3,12:10:53 PM,11,3,12:31:41 PM,5,19.1,-1.3239488000000001,36.831683500000004,-1.3077869,36.844320700000004,Rider_Id_427
737,Order_No_2570,User_Id_3017,Bike,3,Business,14,2,4:16:23 PM,14,2,4:16:52 PM,14,2,4:17:45 PM,14,2,4:30:53 PM,4,24.2,-1.299313,36.78314879999999,-1.2940768999999999,36.749157399999994,Rider_Id_882
738,Order_No_3236,User_Id_3283,Bike,3,Business,16,3,10:37:55 AM,16,3,10:40:09 AM,16,3,10:55:39 AM,16,3,11:01:01 AM,14,24.1,-1.2296618000000001,36.84382720000001,-1.2628473,36.781805,Rider_Id_865
739,Order_No_19276,User_Id_1363,Bike,3,Business,13,4,1:45:52 PM,13,4,1:46:17 PM,13,4,1:55:07 PM,13,4,2:00:51 PM,5,23.2,-1.3004062,36.829741,-1.3228003000000002,36.8306435,Rider_Id_2
740,Order_No_3115,User_Id_3050,Bike,3,Business,30,3,3:08:10 PM,30,3,3:09:09 PM,30,3,3:29:15 PM,30,3,3:40:02 PM,15,29.0,-1.2945073999999999,36.8083195,-1.3398006000000002,36.717935,Rider_Id_622
741,Order_No_2920,User_Id_2271,Bike,3,Business,21,5,11:51:17 AM,21,5,11:54:45 AM,21,5,12:01:23 PM,21,5,12:08:20 PM,19,22.9,-1.303596,36.778378000000004,-1.293515,36.897607,Rider_Id_250
742,Order_No_25352,User_Id_3426,Bike,3,Business,8,5,1:02:08 PM,8,5,1:08:13 PM,8,5,1:36:06 PM,8,5,1:45:30 PM,9,27.3,-1.2676026000000002,36.810362899999994,-1.3012008,36.764868,Rider_Id_678
743,Order_No_27839,User_Id_3426,Bike,3,Business,30,2,9:54:09 AM,30,2,10:00:24 AM,30,2,10:12:48 AM,30,2,10:21:49 AM,3,17.2,-1.3014461000000002,36.7661381,-1.2857446000000001,36.7483206,Rider_Id_783
744,Order_No_9256,User_Id_3258,Bike,3,Personal,20,1,7:47:02 AM,20,1,7:48:13 AM,20,1,8:18:28 AM,20,1,8:21:23 AM,9,18.9,-1.32671,36.8600138,-1.312469,36.815177,Rider_Id_68
745,Order_No_482,User_Id_1687,Bike,3,Business,26,5,1:12:49 PM,26,5,1:22:22 PM,26,5,1:34:43 PM,26,5,1:40:17 PM,12,23.246119694548046,-1.2626574,36.8014034,-1.2533046,36.886093,Rider_Id_754
746,Order_No_13576,User_Id_1280,Bike,3,Business,21,4,2:29:48 PM,21,4,2:30:14 PM,21,4,2:30:23 PM,21,4,2:31:26 PM,2,30.9,-1.2551895,36.7822034,-1.2616067,36.7870271,Rider_Id_630
747,Order_No_19782,User_Id_136,Bike,3,Business,8,4,10:02:31 AM,8,4,10:22:32 AM,8,4,10:35:56 AM,8,4,10:40:22 AM,11,26.4,-1.3326173000000001,36.71462329999999,-1.2909633999999999,36.7813995,Rider_Id_208
748,Order_No_22117,User_Id_2751,Bike,1,Personal,3,4,12:35:00 PM,3,4,12:35:17 PM,3,4,1:02:09 PM,3,4,1:08:53 PM,8,21.9,-1.300722,36.816865,-1.2655306,36.828148,Rider_Id_124
749,Order_No_3924,User_Id_938,Bike,1,Personal,16,6,4:21:16 PM,16,6,5:46:54 PM,16,6,5:54:26 PM,16,6,5:59:17 PM,13,23.246119694548046,-1.2221583,36.8919651,-1.1994789,36.81673320000001,Rider_Id_338
750,Order_No_16930,User_Id_1927,Bike,3,Business,31,5,4:24:22 PM,31,5,4:25:59 PM,31,5,4:39:17 PM,31,5,4:43:16 PM,15,19.7,-1.3472066,36.7692638,-1.282937,36.781698399999996,Rider_Id_56
751,Order_No_9752,User_Id_2793,Bike,1,Personal,23,4,3:22:26 PM,23,4,3:22:49 PM,23,4,3:31:53 PM,23,4,3:38:43 PM,7,20.7,-1.2854453000000001,36.818836299999994,-1.3037687,36.7871102,Rider_Id_88
752,Order_No_18856,User_Id_2523,Bike,3,Business,5,3,12:08:43 PM,5,3,12:09:45 PM,5,3,12:16:55 PM,5,3,12:21:32 PM,6,22.2,-1.2551895,36.7822034,-1.2608848,36.755160700000005,Rider_Id_575
753,Order_No_1465,User_Id_2330,Bike,3,Business,25,4,3:54:40 PM,25,4,3:56:50 PM,25,4,4:29:05 PM,25,4,4:43:28 PM,8,23.246119694548046,-1.2642903,36.80021370000001,-1.304735,36.784605400000004,Rider_Id_881
754,Order_No_2207,User_Id_393,Bike,3,Business,9,2,11:11:41 AM,9,2,11:25:49 AM,9,2,11:32:01 AM,9,2,11:50:35 AM,14,22.0,-1.3177546999999998,36.8303703,-1.306378,36.7519845,Rider_Id_731
755,Order_No_26647,User_Id_2200,Bike,3,Business,5,6,11:38:27 AM,5,6,11:38:52 AM,5,6,11:47:45 AM,5,6,11:52:40 AM,2,22.3,-1.279395,36.825364,-1.290894,36.822971,Rider_Id_26
756,Order_No_9598,User_Id_970,Bike,3,Business,17,2,8:44:23 AM,17,2,8:44:28 AM,17,2,8:48:06 AM,17,2,8:53:37 AM,19,14.5,-1.2551895,36.7822034,-1.3248520000000001,36.902705299999994,Rider_Id_726
757,Order_No_6136,User_Id_867,Bike,3,Business,6,1,10:53:30 AM,6,1,10:53:50 AM,6,1,10:58:19 AM,6,1,11:11:52 AM,9,23.246119694548046,-1.2638185,36.7930057,-1.2991441000000001,36.7528804,Rider_Id_92
758,Order_No_20868,User_Id_1676,Bike,2,Personal,14,5,11:47:16 AM,14,5,11:47:34 AM,14,5,12:00:45 PM,14,5,12:21:08 PM,16,24.5,-1.298174,36.803098999999996,-1.2248308,36.801257299999996,Rider_Id_101
759,Order_No_11640,User_Id_1363,Bike,3,Business,17,3,10:15:15 AM,17,3,10:15:41 AM,17,3,10:21:49 AM,17,3,10:23:35 AM,8,20.9,-1.3004062,36.829741,-1.2574219,36.7927073,Rider_Id_848
760,Order_No_21036,User_Id_2767,Bike,3,Business,18,2,12:59:06 PM,18,2,1:00:07 PM,18,2,1:07:36 PM,18,2,1:13:41 PM,8,22.6,-1.2248308,36.801257299999996,-1.257773,36.795486,Rider_Id_882
761,Order_No_9937,User_Id_2509,Bike,3,Business,4,5,11:50:23 AM,4,5,11:50:51 AM,4,5,11:57:03 AM,4,5,12:00:27 PM,20,17.4,-1.2571472,36.795063299999995,-1.3700383,36.9190174,Rider_Id_518
762,Order_No_1938,User_Id_393,Bike,3,Business,27,2,12:11:27 PM,27,2,12:44:49 PM,27,2,12:47:51 PM,27,2,12:53:30 PM,10,23.7,-1.3177546999999998,36.8303703,-1.2574219,36.7927073,Rider_Id_523
